station_code,construction_id,station_name_tw,station_name_en,line_code,line_name,address,lat,lon,geohash
Y14,Y13,中原,Zhongyuan,Y,環狀線,新北市中和區板南路510號,25.0084104,121.4841593,wsqqk2whd1dd
Y15,Y14,板新,Banxin,Y,環狀線,新北市板橋區板新路109號,25.0144914,121.4722124,wsqqk1trgxnm
Y16,Y15,板橋,Banqiao,Y,環狀線,新北市板橋區新站路66號,25.015156,121.464825,wsqq7czgze41
Y17,Y16,新埔民生,Xinpu Minsheng,Y,環狀線,新北市板橋區民生路三段70號,25.026125,121.466839,wsqqk5c7wrzf
Y18,Y17,頭前庄,Touqianzhuang,Y,環狀線,新北市新莊區思源路20號,25.039735,121.461655,wsqq7ymej8ym
Y19,Y18,幸福,Xingfu,Y,環狀線,新北市新莊區思源路292號,25.050282,121.460216,wsqqebk8kpj2
Y20,Y19,新北產業園區,New Taipei Industrial Park,Y,環狀線,新北市新莊區五工路35號,25.0615483,121.4599257,wsqqefk6j7hy
A1,A1,台北車站,Taipei Main Station,A,機場線,台北市中正區鄭州路8號,25.0491868,121.515245,wsqqt0hdn6vg
A2,A2,三重,Sanchong,A,機場線,新北市三重區捷運路36號,25.0552963,121.4813901,wsqqs3hj9tcb
A3,A3,新北產業園區,New Taipei Industrial Park,A,機場線,新北市新莊區五工路37號,25.061716,121.4567028,wsqqef65463x
A4,A4,新莊副都心,Xinzhuang Fuduxin,A,機場線,新北市新莊區新北大道四段188號,25.0591305,121.4434732,wsqqe9bkn08b
A5,A5,泰山,Taishan,A,機場線,新北市泰山區新北大道四段431號,25.0532726,121.4373407,wsqqe2gczhs0
A6,A6,泰山貴和,Taishan Guihe,A,機場線,新北市泰山區新北大道六段460號,25.0334752,121.4201443,wsqq6vpqw6j8
A7,A7,體育大學,National Taiwan Sport University,A,機場線,桃園市龜山區文化一路688號,25.041246,121.3832453,wsqq6nsefdef
A8,A8,長庚醫院,Chang Gung Memorial Hospital,A,機場線,桃園市龜山區文化一路6號,25.0604363,121.3679403,wsqq9f17tgzt
A9,A9,林口,Linkou,A,機場線,新北市林口區八德路290號,25.0665023,121.3590943,wsqq9e4yzyeq
A10,A10,山鼻,Shanbi,A,機場線,桃園市蘆竹區南山路三段155號,25.0803514,121.2834868,wsqnxvezwh67
A11,A11,坑口,Kengkou,A,機場線,桃園市蘆竹區坑菓路460號,25.086516,121.2642601,wsqnxqvgw19b
A12,A12,機場第一航廈,Airport Terminal 1,A,機場線,桃園市大園區航站南路17之1號B1,25.081385,121.2353293,wsqnwvbvevj9
A13,A13,機場第二航廈,Airport Terminal 2,A,機場線,桃園市大園區航站南路9之1號B2,25.0772703,121.230063,wsqnwtjj9nnb
A14a,A14a,機場旅館,Airport Hotel,A,機場線,桃園市大園區航站南路1之2號,25.0692598,121.2187503,wsqnw7sz18er
A15,A15,大園,Dayuan,A,機場線,桃園市大園區橫湳一路50號,25.0560465,121.2082923,wsqnw1m4jct7
A16,A16,橫山,Hengshan,A,機場線,桃園市大園區大竹南路1180號,25.0460284,121.2045017,wsqnqp6rtw4f
A17,A17,領航,Linghang,A,機場線,桃園市大園區領航北路四段351號,25.0189695,121.2136874,wsqnq69459uq
A18,A18,高鐵桃園站,Taoyuan HSR Station,A,機場線,桃園市中壢區高鐵北路一段5號,25.013762,121.2119733,wsqnq1xgexnn
A19,A19,桃園體育園區,Taoyuan Sports Park,A,機場線,桃園市中壢區高鐵南路二段350號,25.001996,121.2013063,wsqnnp2p5ju5
A20,A20,興南,Xingnan,A,機場線,桃園市中壢區中豐北路一段685號,24.9802492,121.2140726,wsqnn792kxgq
A21,A21,環北,Huanbei,A,機場線,桃園市中壢區中豐北路一段26號,24.967381,121.2197492,wsqnn3jt8chk
